aa,count
M,242334
K,651378
G,747025
L,1132287
Y,302772
F,414781
Q,541905
S,946500
T,608124
D,538336
E,807047
I,492971
V,677882
P,717708
N,407941
A,796924
C,261524
R,640576
H,297988
W,138182
U,36
