aa,count
M,182163
E,479522
V,492755
K,454371
T,373391
N,321642
I,395787
A,471487
D,388487
S,644523
Y,211634
R,385060
G,478193
W,91479
P,344395
F,317427
L,703610
C,131723
H,161845
Q,252628
X,3
