aa,count
M,93837
E,287541
D,205877
I,188487
Q,188583
S,333581
L,417407
V,262169
T,222308
P,245929
R,231680
A,291544
F,160206
K,234538
Y,116594
G,273110
W,52687
N,150735
H,102712
C,89507
X,52
U,26
Z,4
